,name,requirements,branch,duplicate,completion,complete,completeRequirements
83,Guide Camper's Way Silver,Have gained Campers Way Bronze at a previous camp and camp for a minimum of 2 nights./Produce a full personal camp kit correctly packed and explain why each item is needed./Be responsible for pitching & striking and packing a patrol tent. Know how to care for your tent in all weathers./Know how to keep yourself healthy in camp./Help with preparing & cooking & serving a hot meal./Be responsible for explaining the Patrol duties to a first time camper./Make two camp gadgets./Know where the camp First Aid Kit is stored and explain why each item is needed. Know who your MO is and what her responsibilities are./Help plan and organise an activity at camp.,G,A,0.0,I,N
84,Guide Camper's Way Gold,Have gained Campers Way Silver at a previous camp and camp for a minimum of 2 nights./Help with the planning of camp./Demonstrate to first time campers a correctly packed personal kit and bedding & explain why each item is needed./List the responsibilities of the CO and QM./Plan a balanced menu with your QM.With QM prepare and cook one of these meals & clean up afterwards with the help of your Patrol./Know what equipment is needed for camp. Know how to care for & store all equipment at camp./Teach other Guides how to pitch & strike & pack a Patrol tent./Know how to care for your tent in dry or wet or windy weather./Make 2 camp gadgets using lashings./Carry out a safety assessment of your campsite./Describe the dangers of an unhygienic camp./Produce a camp book to include songs & sketches & graces./Plan and run an activity while at camp./Complete one of the following: OR Pitch a toilet tent OR Erect a fire shelter OR Know how to store food correctly and safely at camp OR Construct a wood pile OR Demonstrate how to use and store an axe and saw correctly and safely,G,A,0.0,I,N
85,Guide Campfire Leader,Take part in all campfire activities at the event you have chosen to attend./Compile a campfire songbook containing at least 20 songs of a wide variety that you have learned./Lead some of these activities. (The Guide’s sense of fun and participation are more important than the ability to sing.),G,No,0.0,I,N
86,Guide Car Care,Demonstrate how to change a wheel (with help). Know how to put air into tyres./Describe how to check the following: AND oil AND water in radiator AND the windscreen washer fluid./Be able to read the indicators on the instrument panel and know their significance./Identify 15 road signs as outlined in the Rules of the Road./Clean and polish a car and know the care of inside upholstery.,G,No,0.0,I,N
87,Guide Care of the Elderly,Investigate what facilities and organisations are available in your community for elderly people. Learn more about one of these./Discuss one of the following: • What self-aids are available? • The causes and signs of hypothermia in an elderly person • How to summon help for an elderly person who has fallen or is unwell/List 3 ways (give an example and time frame) you can help the elderly in your community. Participate in or complete one of these./Discuss what we can learn from the elderly people in our community.,G,No,0.0,I,N
88,Guide Child Care,Complete approximately 10 hours of supervised child minding to include play & eating and bedtime routine (not babysitting). An adult should be within calling distance./Describe how a child should be dressed indoors and out of doors in all weathers./Demonstrate how to change a nappy. Dispose of the soiled nappy satisfactorily./Make a list of games & activities and stories to engage the child./Using a catalogue pick toys for a variety of ages and discuss their suitability./Assist at one mealtime. Outline the dangers of unsupervised feeding and unsuitable food./Explain how to keep a home safe for young children./Outline how to cope with choking & cuts & grazes & nosebleeds./List the information that should be left with a babysitter when parents are going out.,G,No,0.0,I,N
89,Guide Chocolate,Explore the history of chocolate and how chocolate is made./Investigate how many companies now produce Fair Trade Chocolate products. Compare a Fair Trade bar with an ordinary bar. How do they compare on price & packaging and taste?/Design a wrapper for a chocolate bar./Make at least two of the following using chocolate: • Ribbons • Curls • Leaves • Baskets • Writing • Boxes • Cut-outs • Ganache/Make up a game using chocolates and play it with your Patrol./Make a selection of sweets using melted chocolate. Work out how much they cost and compare the price to bought chocolates.,G,No,0.0,I,N
90,Guide Community Action,Choosing one of the following areas complete a specific project that will enable you to make a difference. The project: must be planned carefully & may be completed individually or with other Patrol members & should be worked on for a minimum of 10 hours: OR Action in the lives of people in your local community: You could choose to work with or for children or older people or people with a disability. OR Action for the local environment: This may include projects such as bulb planting or cleaning the local river or providing bird or bat boxes. OR Action on a global concern: You could find out about projects sponsored by charity organisations or perhaps choose a wildlife issue.,G,No,0.0,I,N
91,Guide Cook,Know the different food groups and plan a meal for your family using these groups. List and cost the ingredients for your meal./Know how to use a cooker and microwave safely./Prepare and cook any four of the following: Rice Pasta Potatoes Vegetables Red meat Fish Poultry Biscuits Buns Cakes Pizza Coeliac Friendly dish Vegetarian dish/Cook something using a recipe you haven't used before and bring it to Guides./Wash up utensils & boards etc. and know the care of these./Follow safe food handling practices./Explain how to work safely in the kitchen.,G,B,0.0,I,N
92,Guide Cultural Diversity,Through games or activities explore the concept of identity./Explore young people’s values and attitudes to diversity./Explore the difficulties and misunderstandings that can occur when communicating with others. Identify ways of overcoming these./Take part in games/activities that will help you identify the feelings of being included/excluded. Discuss where this could happen in life and the feelings it brings./Make a craft/ take part in a game/activity that celebrates differences and uniqueness./Celebrate an International Cultural Festival.,G,A,0.0,I,N
93,Guide Cybersecurity,Passwords: Understand what passwords are & what makes up a strong password and best practice on password creation./Safe Gaming: Understand how to stay safe online while gaming and what to watch out for./Staying Safe Online: Understand what is safe to share online & what you should not share online and tips for staying safe online.,G,B,0.0,I,N
94,Guide Cycle Safety,Show that you can ride and control a bicycle. Cycle 5km with a tester./Demonstrate how to complete the M Safety Check of your bike./Mend a puncture and keep your bicycle cleaned and oiled./Explain the Rules of the Road & the legal requirements for cyclists with regard to lights and lighting up times./Be aware of situations where cyclists can cause a danger to other road users./Be aware of the dangers to cyclists arising from unsuitable clothing and carrying articles carelessly. Know the importance of wearing reflective bands and a cycling helmet.,G,A,0.0,I,N
95,Guide Disability Awareness,Investigate at least 3 different types of disabilities e.g. intellectual or physical or sensory or emotional and mental health or developmental and autistic spectrum./Explain how a disability can affect someone’s life- communication difficulties or opportunities for education and employment or how other people see the disability rather than the person etc./Identify 5 different organisations in Ireland who work for people with a disability./Support one of these organisations in some way - donating or fundraising or volunteering./Research someone famous who has a disability or condition described above./Evaluate the building in which you meet and find out how suitable it is for people who have a physical disability.,G,A,0.0,I,N
96,Guide Discovering Faiths,Attend a place where you hear about your faith. This may include a church or temple or mosque or synagogue or school assembly or parish youth group or Sunday School./Choose one of the World Religions and find out about 5 different important elements of that faith./Read a book or watch a video or hear about someone whose faith played an important role in the way they lived their life. Talk to your Leader about your chosen person./Describe how the Promise helps you in your life. Write a personal prayer or reflection or poem about keeping the Promise and use it at a suitable time in your Unit./Identify what a Guides’ Own is and why we have one in Guides. Help plan a Guides' Own.,G,B,0.0,I,N
97,Guide Drug Awareness,The WAGGGS Drug Awareness Code says ‘Stop & think and decide to say NO to drugs’ Make a short advertisement to promote this./Identify Harmful Substances and what impact they can have on your health./Look at how personal choice & peer pressure and possible consequences influence our decisions in situations involving alcohol & drugs and tobacco./Practice making good choices – options & consequences & decision-making.,G,A,0.0,I,N
98,Guide Engineering,What is engineering? a. Play an engineering game. b. Find examples of engineering. c. Imagine Planet Earth in 50 years. Think of possible engineering solutions for future problems./Investigate engineering principles in your patrol./Carry out the oil spill project./Take on an engineering challenge following the engineering design process: brainstorm & draw & construct & debrief. e.g. making a mechanical hand or a camp wash stand or a roller-coaster or an iconic bridge or improving car safety etc.,G,A,0.0,I,N
99,Guide Entrepreneur,Collect as many company or organisation logos as possible and use them to run a game with your Patrol./Imagine your Patrol is going into business. Brainstorm ideas in your Patrol for a product/service that your imaginary business will develop./Design your company logo explaining its elements and design./Put together a plan to market and sell your product/service. Investigate the costs of putting your product/service into production./Distinguish between the types of E- commerce and discuss the one that best suits your business.,G,No,0.0,I,N
100,Guide Environmental Awareness,Understand the seven principles of Leave no Trace./Investigate where the recycling facilities are in your area./Identify different types of pollution & how they affect your area and the wider world./Compare renewable and non-renewable energy sources. Identify how renewable energy sources can be used in a home.Keep a diary of the journeys you make during a week. Explain what the most environmentally friendly methods of transport are. Discuss ways your family could reduce its carbon footprint./Choose an action to improve your environment and carry it out.,G,No,0.0,I,N
101,Guide Europe,Learn about why the European Union was formed in 1957 and when Ireland joined/Buy a newspaper and identify three stories involving Europe/Celebrate an International Cultural Festival e.g. host a Eurovision Talent Competition/Make a poster on why Ireland is a member of the European Union/Invite a VIP to visit your unit to come and talk about the European Union Note: VIP could include MEP or Minister or TD or Senator or EU member state Ambassador or City or County Councillor etc.,G,A,0.0,I,N
102,Guide Farmer,Complete one of the following: OR Describe a number of farm safety guidelines including: the working environment & animal & chemicals & machinery OR Have a working knowledge of the tractor. OR Describe the function of three of the following: plough or cultivator or harrow or roller or corn drill or sprayer or combine harvester or forage harvester or mowing machine or swathe turner or baler and fertiliser spreader. OR Have spent at least 5 days on a farm helping as much as possible and keep a log of your experience. OR Have knowledge of the different types of farming practiced in your area and describe the yearly sequence. OR Describe some of the natural resources that can be farmed in Ireland. OR Look after (or help to look after) & feed and keep clean regularly for two weeks any farm animal or poultry. OR List the necessary equipment required to look after your livestock. OR Describe the collection method of your animals' waste produce (e.g. slatted sheds & straw bedding.) OR Describe three different breeds of the livestock you are caring for OR Explain the feeding & housing and general care requirements of your livestock in winter and summer. OR Recognise the signs of illness in livestock and what you should do to care for it. OR Know how long the gestation periods are for three types of livestock. OR List the necessary equipment to look after your livestock correctly OR Describe the collection method of your livestock’s produce. (Arable or tillage) List the most common farm crops grown in Ireland. OR Describe the process from preparing the land to harvesting the crop OR Describe the process of care in both organic and non-organic farming. OR Explain the value of market gardening/Complete one of the above/Complete one of the above/Complete one of the above (Earn another badge by completing 4 different options),G,No,0.0,I,N
103,Guide Fire Safety,Take part in a fire drill at your meeting./Carry out a routine fire safety check and make a fire escape plan for your home using EDITH (Evacuation Drill in The Home)./Know how to summon the Fire Brigade and what to do while awaiting its arrival./Explain what to do when fire breaks out near you (both indoors and out-of-doors.)/Demonstrate what to do if your or someone else’s clothes catch fire./List the different types of fire extinguishers available and explain why different types are necessary/Outline the dangers of gas (both bottle and mains) and what to do if a leak is suspected./Describe how to deal with chimney and hearth fires./Demonstrate how to get out of a building when fumes and smoke are present./Design an awareness campaign to show the dangers of fire and the precautions that should be taken to prevent fire. (Where possible visit a fire station or invite a fire officer to your meeting.),G,A,0.0,I,N
104,Guide First Aid,Practice the importance of remaining calm & getting help & taking control of the situation in the critical moments before help arrives/Describe why you must think of your own safety before helping a casualty/Explain how and why you need to protect yourself when dealing with blood/Discuss ways to reassure the casualty that help is on the way and keep them comfortable/List three things that can cause somebody to go into shock and describe how to help them/Demonstrate how to treat: AND a graze AND a nose bleed AND a cut with any foreign body in it/Demonstrate how to treat a wasp and bee sting/Describe the difference between burns and scalds and how to treat them/Explain the best way to initially treat a sprain/Demonstrate how to find a pulse/Demonstrate how to treat somebody who is choking/Describe what to do if a casualty is not breathing/Demonstrate how to put a casualty in the recovery position. Explain why and when you would do this/List the contents of a First Aid Kit suitable for home use and explain what each item is used for.,G,A,0.0,I,N
105,Guide Global Traveller,Complete one of the following: OR Explain when you need to have a passport and how to get one OR Find out what €1 is worth in two currencies outside the Euro zone. Find out how you can change money into a foreign currency OR In a language other than your own make a collection of useful words and phrases that would help you communicate while travelling OR Explain why it is useful to keep a list of medications or conditions or allergies a person may have with their passport OR Discuss why you may need vaccinations when travelling abroad & where to get the appropriate information and vaccinations OR Discuss what basic medications to take with you when travelling abroad OR Cook an international dish on a lightweight stove OR Choose a holiday destination and make a list of all the things you would need to pack when travelling there OR Plan and make a visual record of a journey e.g. using postcards or photographic slides or prints or video./Complete one of the above/Complete one of the above/Complete one of the above (Earn another badge by completing 4 different options),G,B,0.0,I,N
106,Guide Green Fingers,Grow a flower and a vegetable or herb of your choice from seed or bulb or tuber/Name six garden tools and how to care for them/Identify the most common pests and how you would control them/Explain the difference between plants suitable for indoors and outdoors and the care and feeding of same/Outline the precautions to be taken when using chemicals in your garden/Be able to identify some of the most suitable foliage and flowers suitable for flower arranging,G,B,0.0,I,N
107,Guide Guiding Traditions,Complete one of the following: OR Participate in a flag ceremony and demonstrate how to fold a flag and know how to hoist colours. OR Show that you know the whistle signals and the hand signal for silence OR Tie a reef knot and a packer's knot. Demonstrate their use on a parcel or bedding roll OR Guides march formally into a horseshoe. Find out how this is done and participate in this opening ceremony OR Lay or follow a trail using woodcraft signs OR Strike a match correctly and light a candle OR Use Scout's pace to cover 2km and at the end deliver the verbal message you were given at the start OR Use semaphore to send and read a simple message OR List ten significant facts about the history of Guiding. Share this information with your Patrol in the form of a quiz or game or poster OR Set a map with a compass and walk on a bearing OR Know and demonstrate a method to stop the fraying of a rope OR Know how to use an axe and saw safely OR With your Patrol plan and do a pioneering activity (eg make a rope ladder or haymaker bridge or swing) OR Make and use a buddy burner OR Learn the words of the World Song and sing it with members of your Patrol OR At a campfire prepare and cook dampers OR Make a lanyard to wear at camp OR Learn two graces and teach them to your Patrol OR Demonstrate the international symbol of recognition when meeting another Guide OR Learn how to play Captain Ball and take part in a game/Complete one of the above/Complete one of the above/Complete one of the above/Complete one of the above (Earn another badge by completing 5 different options),G,A,0.0,I,N
108,Guide Healthy Body,Identify the important nutrients & food groups needed for a balanced diet/Discuss the importance of a balanced diet/Plan meals for different occasions that are well balanced & nutritious & interesting and suitable for the occasion/Know what immunisations and vaccinations you have received and what others might be desirable/Know some ways to prevent the spread of infections/Find out about natural remedies for common illnesses/Discuss the importance of oral hygiene/Look at the basics of hair care and discuss the products you use.,G,A,0.0,I,N
109,Guide Healthy Friendship,Explore the meaning of friendship. Recognise the qualities that make you a good friend/Look at your network of friends and discuss the differences between associates & acquaintances & other friends & good friends/Recognise and appreciate differences in others and how our actions can influence and affect others/Recognise & discuss & understand bullying and its effects/Identify ways individuals can deal with being bullied & knowing that others are being bullied & being a bully.,G,A,0.0,I,N
110,Guide Healthy Mind,Identify personal qualities & strengths & interests & limitations and abilities/Give positive affirmations to others in your Unit and accept them in return/Give examples of different feelings and strategies for dealing with them/Learn positive communication skills (both speaking and listening)/Identify what stress is & how it is caused & signs of stress in ourselves/List ways of dealing with those stresses and reflect on how talking can help you cope with stress/Identify the IGG tagline,G,A,0.0,I,N
111,Guide Hiker,Complete three hikes keeping brief notes. They should be interesting hikes planned to visit a local vantage point or historical site or bird watching etc. Make sure never to go alone/Know the Leave No Trace message/Assemble a pocket first aid kit suitable for hiking/Discuss the food that you take on your hikes - its nutritional value and variation for different times of the year and know what emergency rations are/Explain about personal safety when hiking,G,No,0.0,I,N
112,Guide Holiday,Participate in a Guiding holiday of at least two nights (at home or abroad & indoors or outdoors)/Have the right kit for the Guiding holiday and participate fully in all activities and Patrol duties/Keep a logbook or diary which includes illustrations,G,A,0.0,I,N
113,Guide Hostess,Write a letter inviting a guest to a suitable event/Prepare all food and refreshments and decorations/Greet guest(s) and make them feel welcome and introduce your guests to each other/Lay out and serve food or refreshments correctly in a pleasant atmosphere/Ensure all guests are included in the conversation/Bid guests goodbye/After guests have left tidy up and clear away.,G,B,0.0,I,N
114,Guide Independent Living Skills,Complete one of the following: OR Understand the importance of shopping on a budget. Make a list of everything you use in a week like toothpaste and soap and find out how much it all costs. How could you reduce the amount of money you spend? OR Make a game or quiz that helps your Patrol understand the importance of storing food correctly and preparing it safely and hygienically OR Explain the meanings of the symbols you find on washing labels in your clothes. Wash and iron an item of clothing. Know why it is important to keep clothes clean and fresh OR Understand the care and maintenance of the laundry equipment you use at home OR Put together a sewing box to enable you to make simple repairs such as turning up a hem or sewing on a button. Be able to suggest different methods of making repairs (e.g. using Velcro or Wundaweb) OR Understand what services a household needs to function such as electricity or water or waste collection. Find out how to pay for these and how to call out a service team if you have a problem OR Carry out and be able to describe three of the following: a) The weekly cleaning and vacuuming of a room & emptying and unblocking a vacuum cleaner or b) The cleaning of the bathroom and disinfecting of bath or shower & sink & toilet or c) The cleaning of one of the following: cooker or kitchen range or fridge or dishwasher or microwave or d) The cleaning out of the fireplace and resetting the fire & the care and maintenance needed for a gas fire OR Make a simple first aid kit and demonstrate how to treat cuts & burns & insect bites & bruises. Explain the importance of hygiene when doing first aid and how to store and use medicines correctly OR Be able to read a bus or train timetable OR Address an envelope and fill out an application form OR Take a telephone message accurately and pass the message on after a time lapse OR Send an email to a friend and use a website to find out information that is useful for young people OR Talk to a young person who has left home to go to Guide Camp or the Gaeltacht. Find out what issues she has faced such as budgeting or looking after herself and her belongings or homesickness. How has she coped?/Complete one of the above/Complete one of the above/Complete one of the above (Earn another badge by completing four different options),G,B,0.0,I,N
115,Guide Irish Culture and Traditions,Complete one of the following: Make a recipe book containing at least 10 Irish dishes OR Cook something traditionally associated with Ireland OR Bake a soda cake or brown bread and share it with your Patrol OR Design a dessert for an Irish themed party OR Read a paragraph or newspaper article or short story written in Irish and be able to answer questions to show you understand the content OR Show that you are capable of holding a conversation in Irish on everyday topics such as home & school & hobbies & TV & news items & the locality OR Say the Promise in Irish OR Recite your favourite Irish poem OR Investigate 3 famous Irish legends. Choose one and dramatise it for the Unit OR Discover legends and traditions associated with your local area OR Identify a number of Irish proverbs and illustrate one with Celtic designs OR Find out about the origins of your town or village and present your findings OR Speak to somebody who has lived in your area for more than 15 years. Together identify a number of the changes that have occurred OR Visit a museum or church or building or place of historic orcultural importance in your area OR Find out the meaning of a coat of arms in your county or town and explain it to your Patrol OR Name one famous person in your area and know what made them famous OR Demonstrate your dancing skills at your Unit meeting by performing a Reel or Jig or Hornpipe. OR Take part in any position in one of the following multi figure dances - Siege of Ennis or Walls of Limerick or Haymaker's Jig OR Be a member of a recognised set-dancing group and have performed in public OR Recognise a tune and be able to keep the correct time OR Play or sing an Irish folk song OR Name some of the instruments you would expect to hear in a traditional group OR Describe what uilleann pipes are and name a piece of music that is played on them OR Explain why the harp is our National Emblem OR Recite or sing the chorus of the National Anthem OR Make a St Brigid’s Cross and explain its significance OR Recognise the different Aran stitches and their meanings OR Make a traditional St. Patrick’s Day item OR Crochet an article of your choice OR Make a piece of Irish craft/Complete one of the above/Complete one of the above/Complete one of the above (Earn another badge by completing four different options),G,A,0.0,I,N
116,Guide Lady Baden Powell,Complete your Lord Baden Powell badge/Discover as much as you can about Lady Baden Powell and her contribution to Guiding/Make up a game or activity to help teach your Patrol about Lady Baden Powell’s influence on the birth of Guiding/Complete another 2 of the following badges: OR Guide Campers’ Way Silver OR Guide Campfire Leader OR Guide Guiding Traditions OR Guide Outdoor Cook OR Guide Rambler OR Guide Team Player,G,No,0.0,I,N
117,Guide Lord Baden Powell,Discover as much as you can about Lord Baden Powell and why he started Scouting/Outline how Guiding evolved from what Lord Baden Powell started in Scouting/Complete 2 of the following badges: OR Guide Campers’ Way Bronze OR Guide Campfire Leader OR Guide Guiding Traditions OR Guide Outdoor Cook OR Guide Rambler OR Guide Team Player,G,No,0.0,I,N
118,Guide Map Reader,Locate north by the sun & stars & a compass/Demonstrate that you can find a place on a map by grid reference and find the grid reference of a given place/Measure on a map the distance between two places/Demonstrate how to find the way from one point to another following: AND A street map AND An Ordnance Survey map/Draw out a rough sketch map of your local area marking the key services for a visitor using the necessary conventional mapping signs/Examine your neighbourhood thoroughly so that you can give directions to a visitor to your area within a radius of 3 or 4km (country) or 1.5km (town) of your home.,G,No,0.0,I,N
119,Guide Money Matters,Describe where and how you can save on a regular basis. Explain how you would open an account. Show that you have saved regularly for 3 months/List the advantages and disadvantages of online banking/Research different mobile tariffs to find the best deal for you/Plan a redesign of your bedroom - on a budget of €200 and on an unlimited budget/Record your expenses for a month & suggest where savings could be made/Plan the budget for an outing with your Patrol.,G,B,0.0,I,N
120,Guide Nature Observer,Complete one of the following: OR Recognise at least six common birds in your area by sight OR Visit a habitat where you will see a selection of birds in their own environment (e.g. River or Seashore or Woodland or Town Park) and record the birds you see OR Name some summer and some winter visitors to Ireland OR Explain how and why some birds migrate OR Know the care needed when watching birds and how thoughtless behaviour can disturb nesting birds OR Make a bird feeder and know the correct foods to put in it. Keep a record of the birds that visit your feeder every day for at least 10 days OR Recognise 10 common trees OR Study four trees in detail describing their twigs & leaves & fruit & bark & seedlings OR Describe the uses and importance of trees in our environment and the advantages of mixed woodland OR What is Coillte and what does it do OR List places in your own locality where you can observe wildlife. Tell how you know that there is wildlife present OR Choose 5 of the following categories and identify 3 varieties of each of them: butterflies or insects or wild animals or garden flowers or wildflowers or trees or sea creatures OR Forecast the weather and show records of observing the weather for a week OR Identify three cloud types OR Where does the prevailing wind come from where you live and what effect does it have on your environment OR Make a simple rain gauge or a wind vane. Know how to use it OR Identify the environmental factors which influence the weather./Complete one of the above/Complete one of the above/Complete one of the above (Earn another badge by completing 4 different options),G,B,0.0,I,N
121,Guide Online Surfer,Read the Irish Girl Guides’ Internet Guidelines for Girls/Discuss responsible use of social media and the effects irresponsible behaviour can have on yourself & your friends & your community/Identify the types of online activity that are illegal/Examine your ‘life online’ – how long do items remain online? What can you find out about a person online?/Design an online usage agreement – including usage & what to do if you come across upsetting material or fun material & meeting people & treating people respectfully & password protection & sharing personal information & permission/List rules about meeting people in person that you have first met online/Outline plans for coping with online harassment and bullying/Demonstrate appropriate respect for others online. If possible invite your Community Guard to a Unit meeting to discuss respectful online communication,G,B,0.0,I,N
122,Guide Outdoor Cook,Plan a balanced meal for two people and choose at least two methods of cooking that suit the heat source and the menu. Include at least two hot courses. Include one fresh vegetable or fruit and one other fresh food/Prepare and cook all the food demonstrating good food hygiene practices and how to keep the food hot/Know how to care for the type of heat source you are using and the safety precautions required/Clear away and wash up after the meal. Dispose of or recycle all rubbish appropriately and clear up the heat source correctly/Have (and be able to use) a pocket first aid kit suitable for coping with accidents that may arise when cooking out of doors. Know how to treat scalds and burns (Complete badge using an outdoor heat source. Subsequent badges may be earned by using a different heat source) ,G,No,0.0,I,N
123,Guide Performing Arts,Complete one of the following: OR Play an instrument and talk about how you are improving your skill OR Name the notes on a treble stave and show that you can name different values of different notes OR Play three pieces in different keys & times & speeds OR Choose a famous instrumentalist and investigate the development of their career OR Give a performance of not less than three minutes duration including one or more of the following: reciting or miming or telling a story OR Help make scenery or costumes or props for a performance OR Either alone or with members of your Patrol entertain others for at least five minutes in one or more of the following ways: Giving a puppet play or Dramatising a ballad or story or Making a shadowgraph or Taking part in a concert or play or Performing an item of your own choice OR Take part either backstage or on stage in a full-length production OR Order from highest to lowest the following voice ranges: Mezzo; Contralto; Bass; Tenor; Soprano; Baritone OR Sing from memory any two songs of contrasting character OR Perform a simple ear test OR Perform a new song suitable for a Guiding event OR Choose a male and a female singer you admire and tell the tester why OR Learn a folk or national or modern dance and perform it accurately or hold a certificate of a recognised school of dancing. OR Perform a short dance that you have learned OR Select a short piece of classical or jazz or contemporary music and put your own interpretation on it using a theme OR Recognise the music of at least four different types of dances or dance styles OR Know the story of two well-known ballets OR Visit the website of a famous dance company and find out all you can about them OR Introduce a speaker OR Propose a vote of thanks to a speaker OR Read a prepared prose piece for 2 minutes and a previously unseen prose piece for 2 minutes OR Recite a poem from memory and read a previously unseen poem OR Speak for 4 minutes on a subject of your own choice. Visual aids may be used/Complete one of the above/Complete one of the above/Complete one of the above (Earn another badge by completing four different options),G,A,0.0,I,N
124,Guide Personal Safety,Discuss what a risk is and how you can recognise risks to yourself and your friends in different scenarios. List ways that you can reduce or remove those risks. Decide whether the benefit of the activity outweighs the risks involved/Discuss the importance of the 3 Ws that parents/guardians should know before you go – Where you are going? Who you are going with? When will you be back?/Explore ways that you can keep yourself safe when you venture out alone or with friends – the pros and cons of keeping in touch by mobile phone & the safest routes to use etc./List the basic rules for staying safe on the internet and when using your mobile phone/List the early warning signs to tell us when we are in danger or afraid (butterflies or stomach ache etc.). Discuss the importance of listening to those early signs when you experience them and doing something about it.,G,B,0.0,I,N
125,Guide Pet Care,Help be responsible for the care of your pet – food & water & cleanliness & exercise etc. List ways to protect your animal’s health/Imagine that you are going on holiday for two weeks and a friend is going to look after your animal. Leave your friend clear instructions about how to take care of it. Make it clear what your friend should do in case of an emergency/Outline symptoms to help you recognise if your pet is unwell and describe the actions required to take care for it/Identify any legal requirements that apply to your pet/Name your nearest animal rescue centre and identify what you can do if you come across a sick or stray animal/Explain what ISPCA stands for and describe some of the work it does,G,A,0.0,I,N
126,Guide Photographer,Make a collage of photos taken by you. Include different subjects from at least 3 of the following: OR interior OR portrait OR landscape OR architecture OR instantaneous action OR flowers OR birds OR Guide activity OR a copy of a photo or drawing or painting/State the reasons for the most common photographic errors/Take a photo and show it in its unedited state and then after editing (e.g. photo shop or special effects)/Discuss the pros and cons of altering photographs/Visit an experienced photographer or photographic exhibition or read a photographic magazine and describe one thing that you learned,G,No,0.0,I,N
127,Guide Rambler,With a group (if possible your own Patrol) go on 3 rambles of different lengths and in different directions/Tell the tester about these rambles and point out on a map the routes you have followed/Model suitable & unsuitable clothing & footwear and equipment for rambling in a variety of weather conditions/Discuss the safety precautions you need to take when rambling,G,No,0.0,I,N
128,Guide Road Safety,Complete some activities supplied by your Leader using full concentration and then do them while texting or talking and discuss what happens. How do you think this would affect your safety on the road?/Make a list of safety precautions you should take while walking and cycling/Demonstrate your understanding of the road signs which should be obeyed by pedestrians and cyclists/Explain the safety measures to be taken by a passenger in public and private transport/Design a media campaign to promote Road Safety issues related to Guide age group,G,A,0.0,I,N
129,Guide Robotics,Describe where and how robots are used in everyday life./Discuss how robots are designed and built/Design your ideal robot & explain the design - why you chose particular parts and materials & the tasks it is able to do and why you chose these tasks/As a Patrol take part in Six Bricks activities to learn about colour & building & movement/As a Patrol take on a robotics challenge using the LEGO Spike Prime kit. Build a moving robot and code it to complete a challenge. Share your design and code with your Unit/Document and discuss any challenges you had with your robot design and build and any improvements you made. (By completing the FIRST® LEGO® League Explore or Challenge Programme girls are automatically awarded this badge.),G,A,0.0,I,N
130,Guide Safety in the Home,Know how to contact the emergency services and be able to stay calm and give the correct information needed/Know the name & address & contact details of your family doctor/Give examples of poisonous items that may be found at home. Explain why it is important they be stored and labelled correctly and tell what steps should be taken if poisons are swallowed accidentally/Know the correct way to dispose of out-of-date medicines safely/Explain what safety routine should be followed before going to bed/Describe appliances that might be a potential danger in your bedroom and other places in the home/Know how to turn on pr off mains ESB & water & gas etc. in your home.,G,A,0.0,I,N
131,Guide Science Investigator,Plan and undertake experiments or research in two of the following areas. Show you understand the science behind what you have done. OR Weather - learn about predicting & measuring & preparing for weather OR Crime Scene Investigation – find out what happens when a crime is being investigated. OR World of the future – how do developments in science and engineering improve the way we live? OR Flash bang goo – can mixing things change what they do? OR Night Sky – identify 3 constellations and the legends connected with them./Do one of the following: OR Visit a museum or farm or science centre or zoo or botanical garden or science festival or aquarium or nature reserve or attend a university or school extra-curricular day. OR Ask a scientist or engineer or medical professional to talk to you about their work. OR Find out more about two famous scientists,G,A,0.0,I,N
132,Guide Skin Care,Find out your skin type and know how to follow a good skin care routine/Prepare your own face mask using natural ingredients/Know how to appropriately apply make-up and the importance of removal/Know the importance of using sun cream/Demonstrate how to care for your hands and nails/Describe ways to care for your feet,G,No,0.0,I,N
133,Guide Space,Identify three constellations and the legends connected with them/Make a poster or model or video to share four facts about any of the items listed below with a member of Ladybirds or Brownies or another Patrol in your Unit: OR Mars - ExoMars or Mars Express OR Jupiter - Galileo OR Saturn - Cassini and Huygens OR Mercury - BepiColumbo OR Venus – Venus Express OR CHEOPS mission that studies exoplanets OR Rosetta and Philae mission that studied a comet/Complete one of the following: OR Describe two significant events in space exploration. Which countries were involved? When did it happen? OR Discover more about Irish women working in the space sector Write a letter to one of these women. OR Find out when a planet or the International Space Station is visible and plan to observe it OR Survey your area for light pollution. How many stars can you see? Can you see the Andromeda Galaxy or the Milky Way? OR Design and make a model Moon base. OR Explain how satellites help us understand our Earth (e.g. weather satellites or fire detection or flood relief or disaster planning) and how they work. OR Visit an astronomical site OR Invite members of a local astronomy club to talk to you/Complete one of the above/Complete one of the above,G,A,0.0,I,N
134,Guide Sportswoman,Keep a log for 6 weeks of your activity showing how you carried out or took part in this activity and note any improvements/List the rules of the activity and the safety rules applicable to it/Describe what clothing and equipment is needed and how to care for it/Investigate more about your chosen activity,G,A,0.0,I,N
